phase,unityFrame,seconds,EnvSprites_ns,ZoneRenderer_ns,InputIdle_ns,MainThread_ns,GC_bytes
0,296,5.4566590000000019,0,87541,0,16488833,487437
0,297,5.4732396250000015,0,75666,0,16612167,514961
0,298,5.490214833,0,75625,42,16879250,501251
0,299,5.5069057910000012,0,80959,0,16713333,501399
0,300,5.5236338750000016,0,82167,41,16764750,528723
0,301,5.5400975410000015,0,79042,42,16502917,528723
0,302,5.556699583,0,69959,41,16591292,543839
0,303,5.5733289160000012,0,70375,42,16699000,556247
0,304,5.5902492079999995,0,64041,41,16896542,570009
0,305,5.6066515410000015,0,65542,83,16388250,542685
0,306,5.623187458,0,70000,41,16602000,556247
0,307,5.639904541,0,63875,125,16614958,556247
0,308,5.6567686660000014,0,71125,0,16872875,556247
0,309,5.6733681659999995,0,73833,167,16501542,528723
0,310,5.690333958,0,79125,41,16987250,556299
0,311,5.7065638330000006,0,74584,42,16296333,530277
0,312,5.7232526250000006,0,67917,42,16694375,556247
0,313,5.7400961660000007,0,69292,42,16793125,542485
0,314,5.756599458,0,71125,0,16503084,542485
0,315,5.773558666,0,76000,42,16896833,542485
0,316,5.7903322910000021,0,79292,42,16418125,459913
0,317,5.8102679580000007,0,90292,83,20050291,239921
0,318,5.8264895410000008,0,81125,41,16411167,184673
0,319,5.8430340409999992,0,76125,0,16666417,184673
0,320,5.859932125,0,61958,42,16835000,158503
0,321,5.876394541,0,69792,84,16501458,225959
0,322,5.8930686250000015,0,62000,0,16659334,239773
0,323,5.909792165999999,0,54875,83,16798208,171111
0,324,5.9268645410000005,0,59042,83,16741542,170911
0,325,5.9432871250000012,0,73666,0,16508292,170911
0,326,5.9598927080000017,0,71708,41,16597208,170911
0,327,5.9766486659999991,0,79208,42,16680500,198435
0,328,5.9934660000000015,0,75458,41,16725833,184673
0,329,6.0101052910000021,0,82333,42,16652708,144941
0,330,6.0268922499999995,0,83917,41,16722833,170911
0,331,6.043438791,0,132042,0,16480916,157149
0,332,6.0603520410000016,0,89000,83,16857333,129625
0,333,6.076747790999999,0,121791,41,16465917,170911
0,334,6.0934034580000009,0,99541,0,16679375,170963
0,335,6.110131958,0,122334,41,16725208,171111
0,336,6.1267699160000006,0,89458,83,16625875,170911
0,337,6.1436228750000019,0,86500,42,16920542,143387
0,338,6.1601038750000008,0,84625,42,16429167,160159
0,339,6.1767477500000005,0,101709,0,16677500,184673
0,340,6.193521291,0,83583,42,16754083,157149
0,341,6.210152707999999,0,78750,41,16648875,157349
0,342,6.2268218329999989,0,81959,83,16546625,157149
0,343,6.2435230829999995,0,152958,42,16706458,157149
0,344,6.2601724999999995,0,83875,84,16695250,157149
0,345,6.2767884580000022,0,88375,42,16531125,157149
0,346,6.2934427500000005,0,88625,42,16703042,170963
0,347,6.310102582999999,0,84709,42,16610500,144941
0,348,6.3268260830000038,0,85666,0,16694625,170911
0,349,6.3436121660000033,0,106084,84,16776083,129625
0,350,6.3600577499999993,0,88667,0,16672959,157149
0,351,6.3768972910000024,0,81834,41,16629583,157149
0,352,6.3934369160000024,0,85375,42,16624958,157149
0,353,6.4102958330000028,0,80666,42,16719167,157349
0,354,6.4268531249999974,0,83500,42,16632291,143387
0,355,6.4438455409999982,0,83000,42,16832333,129625
0,356,6.4602880410000019,0,87666,42,16568625,117217
0,357,6.4768473329999985,0,115541,167,16574750,157149
0,358,6.4935579160000039,0,82875,42,16679125,143439
0,359,6.5102307910000015,0,120125,83,16751167,129825
0,360,6.5269471660000029,0,86292,42,16605041,157149
0,361,6.5435726659999993,0,85541,42,16652417,157149
0,362,6.560103541,0,85042,41,16601958,143387
0,363,6.576841500000004,0,83750,84,16701333,157149
0,364,6.5935450000000024,0,101041,41,16677500,157149
0,365,6.610274125,0,93042,0,16777958,144941
0,366,6.6268352910000026,0,91375,0,16561708,157149
0,367,6.6434557080000012,0,86500,41,16614416,157149
0,368,6.660117041000003,0,83541,83,16675333,157149
0,369,6.6767891660000025,0,115458,0,16692292,157149
0,370,6.6937993329999976,0,80958,42,16643125,170963
0,371,6.7102415409999985,0,96667,42,16580375,129825
0,372,6.7270225,0,126125,42,16745750,157149
0,373,6.743415541000001,0,78041,42,16666333,157149
0,374,6.7599452080000013,0,78291,42,16447459,172265
0,375,6.7770415409999991,0,83375,42,17095583,157149
0,376,6.793470457999998,0,76958,42,16304833,143387
0,377,6.8101507910000016,0,110708,42,16794917,157349
0,378,6.8267971660000022,0,75291,42,16663666,157149
0,379,6.8433948330000014,0,108667,42,16660834,170911
0,380,6.8601415829999972,0,78375,41,16667583,157149
0,381,6.8770542080000006,0,79875,42,16803917,157149
0,382,6.8934482500000023,0,77333,41,16437541,143439
0,383,6.9100772910000039,0,118375,42,16649166,172465
0,384,6.9267440829999991,0,84250,41,16673833,170911
0,385,6.943444582999998,0,94333,42,16720667,157149
0,386,6.9602315000000026,0,78792,83,16592792,143387
