phase,unityFrame,seconds,EnvSprites_ns,ZoneRenderer_ns,InputIdle_ns,MainThread_ns,GC_bytes
0,105,2.3283513330000005,0,76625,42,16385875,515013
0,106,2.3451114159999982,0,76042,42,16786292,556247
0,107,2.3619428750000004,0,68458,41,16800125,556247
0,108,2.3785279999999993,0,68333,0,16495542,531981
0,109,2.3952892079999977,0,76834,42,16798500,528723
0,110,2.411837875,0,72666,0,16584000,528923
0,111,2.4284807499999985,0,72834,42,16704959,542485
0,112,2.4452786250000003,0,64250,0,16691333,556247
0,113,2.4622342499999981,0,82208,41,16861292,543839
0,114,2.4784493750000003,0,70500,0,16229458,516105
0,115,2.4950466250000005,0,77833,41,16624625,542485
0,116,2.5117719159999972,0,73333,42,16760792,487637
0,117,2.5283619579999979,0,76416,0,16599333,542485
0,118,2.545225791,0,72292,42,16895333,556299
0,119,2.5618824999999994,0,67292,0,16585333,542485
0,120,2.5789511249999997,0,76125,0,16809709,556247
0,121,2.595317625,0,73625,0,16476625,501199
0,122,2.6120614999999994,0,86625,41,16798209,530277
0,123,2.6289024579999989,0,74625,42,16697250,531821
0,124,2.6450523329999989,0,78958,41,16388334,501199
0,125,2.6617689579999997,0,78583,0,16705000,528723
0,126,2.678552290999999,0,78209,41,16793042,556247
0,127,2.6954271249999984,0,72917,42,16793583,556247
0,128,2.7118030409999996,0,66750,84,16497709,542685
0,129,2.7286693749999991,0,71292,42,16795666,556247
0,130,2.7452386659999988,0,66250,42,16598875,542537
0,131,2.7618576249999975,0,76708,0,16587791,502553
0,132,2.7785542079999992,0,79166,42,16600541,528723
0,133,2.7953700829999981,0,75708,0,16788917,528723
0,134,2.8118296659999977,0,75959,42,16595750,542685
0,135,2.8283699999999996,0,74667,41,16499167,528723
0,136,2.845539791,0,72458,41,16983500,556247
0,137,2.8622973329999972,0,74709,42,16765875,542485
0,138,2.8785712500000002,0,70708,42,16438958,528723
0,139,2.8953913329999992,0,79583,41,16684833,545583
0,140,2.9117676249999995,0,76458,42,16490708,530277
0,141,2.9285253329999996,0,85333,42,16800250,556247
0,142,2.945505208,0,68166,42,16795000,556299
0,143,2.9617427499999991,0,71459,0,16393542,514961
0,144,2.9786017499999993,0,76792,83,16793959,528723
0,145,2.995255874999998,0,84333,42,16699458,542485
0,146,3.0117548329999977,0,71625,0,16490125,542685
0,147,3.0284879579999995,0,75042,0,16796208,556247
0,148,3.0455063749999987,0,62042,0,16789000,556247
0,149,3.0617074579999972,0,70458,41,16392208,516315
0,150,3.0784310409999982,0,68833,42,16703666,542485
0,151,3.0953350829999984,0,71750,0,16796167,542485
0,152,3.1117086249999986,0,69959,42,16489875,542685
0,153,3.128555791,0,69708,83,16796166,556247
0,154,3.1453603749999992,0,72875,41,16795125,559397
0,155,3.1617753749999977,0,64291,0,16497958,542485
0,156,3.1784783329999975,0,63625,125,16690709,556247
0,157,3.19512675,0,63917,0,16489459,542485
0,158,3.2119626249999982,0,78292,0,16917083,530277
0,159,3.2288901659999993,0,71542,42,16688375,542485
0,160,3.2456046659999984,0,71459,0,16782917,542485
0,161,3.2621537499999995,0,73875,42,16652292,542485
0,162,3.2784660409999979,0,69167,0,16343167,528723
0,163,3.2951563329999978,0,74291,42,16693083,542485
0,164,3.3118258330000003,0,72041,42,16690708,542685
0,165,3.3286253749999979,0,70625,42,16789333,556247
0,166,3.3449872499999991,0,63917,0,16406416,542537
0,167,3.361899416,0,67042,83,16892875,557601
0,168,3.3787280829999986,0,65959,41,16701333,556247
0,169,3.3952342909999977,0,67958,0,16490417,542485
0,170,3.4118422909999992,0,71000,0,16693500,545783
0,171,3.4285499999999978,0,71750,42,16695000,542485
0,172,3.4451339159999996,0,68667,0,16589292,542485
0,173,3.461944916,0,75166,0,16706167,542485
0,174,3.4783366660000006,0,69208,42,16485167,528723
0,175,3.495153791,0,72167,0,16795500,556247
0,176,3.5117140409999976,0,68625,42,16596167,544039
0,177,3.528729791,0,71916,42,16898166,556247
0,178,3.5450502079999993,0,66958,0,16490917,542537
0,179,3.5617780000000003,0,59750,0,16699291,556247
0,180,3.5786051659999991,0,63709,42,16696625,542485
0,181,3.5954050409999994,0,73708,41,16691958,528723
0,182,3.6120030829999976,0,75042,84,16697167,542685
0,183,3.6283643750000003,0,72000,41,16394334,528723
0,184,3.6455966249999996,0,71708,42,17081167,556247
0,185,3.6619209159999997,0,71458,42,16400167,533175
0,186,3.6784025000000007,0,74708,41,16601834,542485
0,187,3.6951588750000006,0,72708,125,16690958,556247
0,188,3.7121050409999974,0,68208,41,16796667,556447
0,189,3.7286144579999991,0,101125,0,16591709,528723
0,190,3.745312791,0,71792,125,16698541,542537
0,191,3.7616997499999982,0,71583,42,16492959,542485
0,192,3.7783949999999997,0,71125,41,16705541,556247
0,193,3.795241208,0,66334,125,16784125,556247
0,194,3.8122544159999983,0,84834,42,16923083,530277
0,195,3.8283606249999984,0,75458,42,16179917,514961
0,196,3.8452814579999988,0,77125,42,16896958,556247
0,197,3.8621518749999986,0,79083,0,16870500,542485
0,198,3.8785089999999975,0,70083,0,16404792,542485
0,199,3.8952507909999987,0,69958,42,16698208,556247
0,200,3.9117705829999991,0,70875,41,16493875,545783
0,201,3.9288344159999973,0,81208,42,16905208,528723
0,202,3.9450150829999977,0,73792,0,16384792,528775
0,203,3.9618585829999979,0,72583,42,16795666,543839
0,204,3.9783782909999985,0,72792,0,16596458,542485
0,205,3.995191833,0,71125,41,16682750,556247
0,206,4.0117232079999994,0,78500,41,16599750,542685
0,207,4.0283333329999991,0,76709,0,16601167,528723
