phase,unityFrame,seconds,EnvSprites_ns,ZoneRenderer_ns,InputIdle_ns,MainThread_ns,GC_bytes
0,1389,23.682681208000005,0,70959,83,16388708,459913
0,1390,23.699757541000004,0,85541,42,17010625,459913
0,1391,23.715938250000008,0,84958,42,16290416,446403
0,1392,23.732940958000007,0,73000,41,16895667,446151
0,1393,23.749465250000007,0,86042,42,16586666,447505
0,1394,23.766263625000008,0,71917,83,16701958,459913
0,1395,23.782547541000007,0,74500,83,16390125,432389
0,1396,23.799235916000008,0,73500,166,16685667,459913
0,1397,23.816271875000005,0,76333,41,17001875,460113
0,1398,23.833033208000003,0,72917,84,16681458,459913
0,1399,23.849694166000006,0,78958,167,16602667,446151
0,1400,23.866397583000008,0,80458,42,16700083,432389
0,1401,23.882843833000003,0,81458,42,16572625,446151
0,1402,23.899298250000008,0,77500,0,16415084,433743
0,1403,23.916139541000007,0,74625,42,16797625,446403
0,1404,23.932898750000007,0,102583,334,16788750,446151
0,1405,23.949142166000009,0,74167,42,16293542,446151
0,1406,23.966363000000008,0,74250,83,17186416,459913
0,1407,23.982919625000008,0,74625,208,16507833,432389
0,1408,23.999300791000003,0,76500,84,16388375,446151
0,1409,24.016159583000004,0,79042,83,16886834,446351
0,1410,24.032720791000003,0,80875,125,16602833,446151
0,1411,24.049364458000007,0,72958,42,16592958,419981
0,1412,24.066202083000007,0,76333,83,16783042,432389
0,1413,24.082755541000004,0,74334,41,16594584,432389
0,1414,24.099396541000004,0,74625,0,16603250,432389
0,1415,24.115977416000007,0,75083,41,16496875,432641
0,1416,24.132678250000005,0,91875,42,16799708,432389
0,1417,24.149506958000003,0,72834,42,16795500,446151
0,1418,24.165904791000003,0,94791,83,16461458,446151
0,1419,24.182811250000007,0,84625,0,16915375,446151
0,1420,24.199277333000005,0,75625,42,16399125,447505
0,1421,24.215965541000003,0,75625,84,16678458,460113
0,1422,24.232684875000004,0,78250,84,16699041,432389
0,1423,24.249697250000004,0,73333,0,16997208,446151
0,1424,24.266076416000004,0,80083,83,16291959,432389
0,1425,24.282890333000005,0,92459,42,16882458,459913
0,1426,24.299373583000005,0,85000,42,16505875,432389
0,1427,24.316275666000003,0,80709,83,16903334,432641
0,1428,24.332563416000006,0,77459,83,16298458,459913
0,1429,24.349527208000005,0,77000,83,16998541,433743
0,1430,24.366214416000005,0,73250,167,16683625,473675
0,1431,24.382670333000007,0,72125,83,16390500,446151
0,1432,24.399590250000003,0,76625,42,16798292,473675
0,1433,24.416052958,0,100375,84,16596542,432589
0,1434,24.432611750000007,0,74166,42,16496000,459913
0,1435,24.449269833000002,0,74791,0,16698375,432389
0,1436,24.465941791000006,0,80125,42,16673333,446151
0,1437,24.482873916000003,0,71167,41,16715750,281007
0,1438,24.498914500000005,0,125292,0,15980708,144741
0,1439,24.527006791000005,0,126041,83,27938375,116115
0,1440,24.532592916000006,0,83458,84,5945125,115863
0,1441,24.549400416000005,0,79416,83,16809625,404865
0,1442,24.566075375000004,0,85041,83,16672708,459913
0,1443,24.582940958000002,0,76333,41,16907750,446151
0,1444,24.599297083000003,0,76750,42,16294250,446151
0,1445,24.615930166000005,0,71834,41,16679583,446351
0,1446,24.632502166000002,0,74292,41,16610167,473675
