frame,seconds,phase,engine_frame_ms,COO.ZoneRenderer.LateUpdate,COO.Input.Update,Main Thread,GC Allocated In Frame,Draw Calls Count,Triangles Count,SetPass Calls Count,Render Textures Count,Render Textures Bytes,Texture Memory,GPU Frame Time
121,0.424117,idle,3.835792,966583,13541,3883250,29313,229,669677,51,45,197105184,328738226,1604874
122,0.427416,idle,3.297088,882209,12875,3313667,29441,229,669677,51,45,197105184,328738226,1600499
123,0.430726,idle,2.971620,879833,11333,3064958,29377,229,669677,51,45,197105184,328738226,1819874
124,0.434132,idle,3.632377,1068625,20625,3534250,29313,229,669677,51,45,197105184,328738226,1702375
125,0.437851,idle,3.790086,921541,19417,3724583,29441,229,669677,51,45,197105184,328738226,1630999
126,0.441517,idle,3.598958,890166,12292,3609250,29377,229,669677,51,45,197105184,328738226,2021000
127,0.444865,idle,3.352501,919541,11500,3410167,29313,229,669677,51,45,197105184,328738226,1686124
128,0.448334,idle,3.517248,940042,14167,3474541,29441,229,669677,51,45,197105184,328738226,1814333
129,0.451990,idle,3.661919,943667,11917,3524500,29377,229,669677,51,45,197105184,328738226,1593083
130,0.456600,idle,4.458957,927083,12750,4599916,39691,229,669677,51,45,197105184,328738226,1838541
131,0.460614,idle,4.052374,970875,26333,4144625,37681,229,669677,51,45,197105184,328738226,1804500
132,0.464264,idle,3.740377,904792,14292,3567083,29377,229,669677,51,45,197105184,328738226,1640958
133,0.467743,idle,3.453996,963542,12000,3530708,29313,229,669677,51,45,197105184,328738226,944625
134,0.471349,idle,3.669629,913958,14875,3586000,29441,229,669677,51,45,197105184,328738226,1947249
135,0.474972,idle,3.631831,905709,13542,3659500,29377,229,669677,51,45,197105184,328738226,2500250
136,0.478481,idle,3.430960,875541,11834,3420083,29313,229,669677,51,45,197105184,328738226,1631666
137,0.482055,idle,3.508581,948959,15500,3438500,29441,229,669677,51,45,197105184,328738226,1855333
138,0.485536,idle,3.571960,952709,12833,3564542,29377,229,669677,51,45,197105184,328738226,1609749
139,0.489161,idle,3.596542,937291,12667,3675209,29313,229,669677,51,45,197105184,328738226,1873541
140,0.492873,idle,3.781293,964958,12541,3766500,29441,229,669677,51,45,197105184,328738226,1755125
141,0.496401,idle,3.578791,906542,13750,3534459,29377,229,669677,51,45,197105184,328738226,1667750
142,0.500232,idle,3.703834,884250,10708,3755917,29313,229,669677,51,45,197105184,328738226,1735750
143,0.503847,idle,3.757958,912250,12500,3699916,29441,229,669677,51,45,197105184,328738226,1642833
144,0.507269,idle,3.413414,855917,10292,3322500,29377,229,669677,51,45,197105184,328738226,1613916
145,0.510289,idle,2.976084,853708,12625,3257750,29313,229,669677,51,45,197105184,328738226,1593125
146,0.513649,idle,3.237705,881125,9791,3049458,29829,229,669677,51,45,197105184,328738226,1636000
147,0.517253,idle,3.751878,935750,18416,3746917,29377,230,669679,51,45,197105184,328738226,1687249
148,0.520610,idle,3.070918,868542,12875,3208500,29313,230,669679,51,45,197105184,328738226,1624125
149,0.524092,idle,3.779748,981291,14250,3601875,29441,230,669679,51,45,197105184,328738226,1885125
150,0.527256,idle,3.082001,854125,11250,3166042,29377,230,669679,51,45,197105184,328738226,1641458
151,0.530880,idle,3.583624,921292,14167,3590709,29313,230,669679,51,45,197105184,328738226,1851666
152,0.534242,idle,3.491879,947083,16708,3429166,29441,230,669679,51,45,197105184,328738226,1745250
